# THIS IS THE MAIN FILE


A-5 Appendix II -2011,,,,,,,,,,,
HOUSELESS AND INSTITUTIONAL HOUSEHOLDS AND THEIR POPULATION,,,,,,,,,,,
State Code,Level,Name,,Houseless households and population,,,,Institutional households and population,,,
09,STATE,UTTAR PRADESH,Rural,"  31,225 ","  148,196 ","  78,814 ","  69,382 ","  90,592 ","  587,284 ","  302,322 ","  284,962 "
09,STATE,UTTAR PRADESH,Urban,"  41,227 ","  180,929 ","  126,848 ","  54,081 ","  52,558 ","  439,144 ","  285,574 ","  153,570 "
10,STATE,BIHAR,Total,"  9,818 ","  45,584 ","  24,231 ","  21,353 ","  36,303 ","  265,493 ","  149,389 ","  116,104 "
10,STATE,BIHAR,Rural,"  6,775 ","  32,993 ","  17,233 ","  15,760 ","  28,684 ","  192,940 ","  99,771 ","  93,169 "
10,STATE,BIHAR,Urban,"  3,043 ","  12,591 ","  6,998 ","  5,593 ","  7,619 ","  72,553 ","  49,618 ","  22,935 "
11,STATE,SIKKIM,Total,  75 ,  277 ,  156 ,  121 ,  816 ,"  22,062 ","  19,938 ","  2,124 "
11,STATE,SIKKIM,Rural,  62 ,  245 ,  140 ,  105 ,  567 ,"  16,770 ","  15,587 ","  1,183 "
11,STATE,SIKKIM,Urban,  13 ,  32 ,  16 ,  16 ,  249 ,"  5,292 ","  4,351 ",  941 
12,STATE,ARUNACHAL PRADESH,Total,  314 ,"  1,556 ",  924 ,  632 ,"  3,618 ","  45,216 ","  29,252 ","  15,964 "
12,STATE,ARUNACHAL PRADESH,Rural,  246 ,"  1,243 ",  727 ,  516 ,"  2,579 ","  33,013 ","  21,593 ","  11,420 "
12,STATE,ARUNACHAL PRADESH,Urban,  68 ,  313 ,  197 ,  116 ,"  1,039 ","  12,203 ","  7,659 ","  4,544 "
13,STATE,NAGALAND,Total,  220 ,  876 ,  528 ,  348 ,"  2,617 ","  40,770 ","  33,743 ","  7,027 "
13,STATE,NAGALAND,Rural,  95 ,  532 ,  301 ,  231 ,"  1,311 ","  20,409 ","  17,347 ","  3,062 "
13,STATE,NAGALAND,Urban,  125 ,  344 ,  227 ,  117 ,"  1,306 ","  20,361 ","  16,396 ","  3,965 "
14,STATE,MANIPUR,Total,  706 ,"  3,212 ","  1,592 ","  1,620 ","  1,919 ","  34,783 ","  29,907 ","  4,876 "
14,STATE,MANIPUR,Rural,  380 ,"  1,881 ",  949 ,  932 ,"  1,367 ","  25,097 ","  21,974 ","  3,123 "
14,STATE,MANIPUR,Urban,  326 ,"  1,331 ",  643 ,  688 ,  552 ,"  9,686 ","  7,933 ","  1,753 "
15,STATE,MIZORAM,Total,  38 ,  152 ,  81 ,  71 ,  736 ,"  16,827 ","  12,996 ","  3,831 "
15,STATE,MIZORAM,Rural,  14 ,  48 ,  25 ,  23 ,  160 ,"  3,010 ","  2,578 ",  432 
15,STATE,MIZORAM,Urban,  24 ,  104 ,  56 ,  48 ,  576 ,"  13,817 ","  10,418 ","  3,399 "
16,STATE,TRIPURA,Total,  850 ,"  3,225 ","  1,755 ","  1,470 ","  2,706 ","  45,460 ","  38,022 ","  7,438 "
16,STATE,TRIPURA,Rural,  465 ,"  1,873 ",  991 ,  882 ,"  1,920 ","  32,183 ","  27,238 ","  4,945 "
16,STATE,TRIPURA,Urban,  385 ,"  1,352 ",  764 ,  588 ,  786 ,"  13,277 ","  10,784 ","  2,493 "
17,STATE,MEGHALAYA,Total,  298 ,"  1,241 ",  622 ,  619 ,"  1,665 ","  25,781 ","  18,661 ","  7,120 "
17,STATE,MEGHALAYA,Rural,  236 ,"  1,064 ",  538 ,  526 ,"  1,061 ","  12,289 ","  8,490 ","  3,799 "
17,STATE,MEGHALAYA,Urban,  62 ,  177 ,  84 ,  93 ,  604 ,"  13,492 ","  10,171 ","  3,321 "
18,STATE,ASSAM,Total,"  3,293 ","  12,919 ","  6,698 ","  6,221 ","  16,131 ","  156,894 ","  115,051 ","  41,843 "
18,STATE,ASSAM,Rural,"  2,378 ","  10,392 ","  5,210 ","  5,182 ","  11,715 ","  113,926 ","  84,707 ","  29,219 "
18,STATE,ASSAM,Urban,  915 ,"  2,527 ","  1,488 ","  1,039 ","  4,416 ","  42,968 ","  30,344 ","  12,624 "
19,STATE,WEST BENGAL,Total,"  28,647 ","  134,040 ","  91,839 ","  42,201 ","  41,796 ","  361,877 ","  239,427 ","  122,450 "
19,STATE,WEST BENGAL,Rural,"  7,560 ","  29,073 ","  14,713 ","  14,360 ","  21,191 ","  153,297 ","  97,825 ","  55,472 "
19,STATE,WEST BENGAL,Urban,"  21,087 ","  104,967 ","  77,126 ","  27,841 ","  20,605 ","  208,580 ","  141,602 ","  66,978 "
20,STATE,JHARKHAND,Total,"  6,121 ","  23,391 ","  12,828 ","  10,563 ","  11,513 ","  155,561 ","  100,724 ","  54,837 "
20,STATE,JHARKHAND,Rural,"  3,886 ","  16,424 ","  8,540 ","  7,884 ","  6,961 ","  89,521 ","  52,888 ","  36,633 "
20,STATE,JHARKHAND,Urban,"  2,235 ","  6,967 ","  4,288 ","  2,679 ","  4,552 ","  66,040 ","  47,836 ","  18,204 "
21,STATE,ODISHA,Total,"  10,334 ","  34,061 ","  19,681 ","  14,380 ","  21,857 ","  517,542 ","  269,379 ","  248,163 "
21,STATE,ODISHA,Rural,"  5,571 ","  20,008 ","  10,557 ","  9,451 ","  14,796 ","  369,564 ","  177,496 ","  192,068 "
21,STATE,ODISHA,Urban,"  4,763 ","  14,053 ","  9,124 ","  4,929 ","  7,061 ","  147,978 ","  91,883 ","  56,095 "
22,STATE,CHHATTISGARH,Total,"  7,198 ","  24,214 ","  13,868 ","  10,346 ","  10,104 ","  235,745 ","  148,199 ","  87,546 "
22,STATE,CHHATTISGARH,Rural,"  4,667 ","  17,681 ","  9,968 ","  7,713 ","  6,865 ","  162,303 ","  100,664 ","  61,639 "
22,STATE,CHHATTISGARH,Urban,"  2,531 ","  6,533 ","  3,900 ","  2,633 ","  3,239 ","  73,442 ","  47,535 ","  25,907 "
23,STATE,MADHYA PRADESH,Total,"  37,822 ","  146,435 ","  81,599 ","  64,836 ","  35,728 ","  418,579 ","  253,594 ","  164,985 "
23,STATE,MADHYA PRADESH,Rural,"  19,314 ","  80,380 ","  43,708 ","  36,672 ","  19,526 ","  204,559 ","  109,963 ","  94,596 "
23,STATE,MADHYA PRADESH,Urban,"  18,508 ","  66,055 ","  37,891 ","  28,164 ","  16,202 ","  214,020 ","  143,631 ","  70,389 "
24,STATE,GUJARAT,Total,"  36,925 ","  144,306 ","  83,967 ","  60,339 ","  18,175 ","  299,207 ","  182,317 ","  116,890 "
24,STATE,GUJARAT,Rural,"  12,938 ","  59,484 ","  31,612 ","  27,872 ","  8,345 ","  146,811 ","  89,085 ","  57,726 "
24,STATE,GUJARAT,Urban,"  23,987 ","  84,822 ","  52,355 ","  32,467 ","  9,830 ","  152,396 ","  93,232 ","  59,164 "
25,STATE,DAMAN & DIU,Total,  166 ,  737 ,  429 ,  308 ,  56 ,  879 ,  560 ,  319 
25,STATE,DAMAN & DIU,Rural,  35 ,  146 ,  81 ,  65 ,  13 ,  369 ,  207 ,  162 
25,STATE,DAMAN & DIU,Urban,  131 ,  591 ,  348 ,  243 ,  43 ,  510 ,  353 ,  157 
26,STATE,DADRA & NAGAR HAVELI,Total,  216 ,"  1,004 ",  549 ,  455 ,  121 ,"  3,102 ","  1,970 ","  1,132 "
26,STATE,DADRA & NAGAR HAVELI,Rural,  151 ,  723 ,  393 ,  330 ,  87 ,"  2,677 ","  1,732 ",  945 
26,STATE,DADRA & NAGAR HAVELI,Urban,  65 ,  281 ,  156 ,  125 ,  34 ,  425 ,  238 ,  187 
27,STATE,MAHARASHTRA,Total,"  57,480 ","  210,908 ","  127,809 ","  83,099 ","  67,432 ","  1,015,647 ","  654,765 ","  360,882 "
27,STATE,MAHARASHTRA,Rural,"  24,816 ","  99,535 ","  53,061 ","  46,474 ","  28,090 ","  558,279 ","  344,133 ","  214,146 "
27,STATE,MAHARASHTRA,Urban,"  32,664 ","  111,373 ","  74,748 ","  36,625 ","  39,342 ","  457,368 ","  310,632 ","  146,736 "
28,STATE,ANDHRA PRADESH,Total,"  42,812 ","  145,211 ","  75,678 ","  69,533 ","  52,588 ","  1,203,006 ","  657,933 ","  545,073 "
28,STATE,ANDHRA PRADESH,Rural,"  19,436 ","  69,354 ","  35,055 ","  34,299 ","  24,336 ","  700,349 ","  391,170 ","  309,179 "
28,STATE,ANDHRA PRADESH,Urban,"  23,376 ","  75,857 ","  40,623 ","  35,234 ","  28,252 ","  502,657 ","  266,763 ","  235,894 "
29,STATE,KARNATAKA,Total,"  21,425 ","  76,735 ","  42,874 ","  33,861 ","  34,812 ","  576,907 ","  366,140 ","  210,767 "
29,STATE,KARNATAKA,Rural,"  10,503 ","  41,262 ","  22,281 ","  18,981 ","  13,884 ","  254,254 ","  174,676 ","  79,578 "
29,STATE,KARNATAKA,Urban,"  10,922 ","  35,473 ","  20,593 ","  14,880 ","  20,928 ","  322,653 ","  191,464 ","  131,189 "
30,STATE,GOA,Total,  820 ,"  3,051 ","  2,049 ","  1,002 ","  1,174 ","  17,412 ","  13,255 ","  4,157 "
30,STATE,GOA,Rural,  322 ,"  1,358 ",  818 ,  540 ,  270 ,"  3,481 ","  1,677 ","  1,804 "
30,STATE,GOA,Urban,  498 ,"  1,693 ","  1,231 ",  462 ,  904 ,"  13,931 ","  11,578 ","  2,353 "
31,STATE,LAKSHADWEEP,Total,  -   ,  -   ,  -   ,  -   ,  33 ,  457 ,  289 ,  168 
31,STATE,LAKSHADWEEP,Rural,  -   ,  -   ,  -   ,  -   ,  3 ,  23 ,  23 ,  -   
31,STATE,LAKSHADWEEP,Urban,  -   ,  -   ,  -   ,  -   ,  30 ,  434 ,  266 ,  168 
32,STATE,KERALA,Total,"  5,759 ","  11,853 ","  7,751 ","  4,102 ","  12,478 ","  182,128 ","  90,902 ","  91,226 "
32,STATE,KERALA,Rural,"  1,767 ","  4,092 ","  2,576 ","  1,516 ","  6,102 ","  86,342 ","  39,801 ","  46,541 "
32,STATE,KERALA,Urban,"  3,992 ","  7,761 ","  5,175 ","  2,586 ","  6,376 ","  95,786 ","  51,101 ","  44,685 "
33,STATE,TAMIL NADU,Total,"  15,299 ","  50,929 ","  28,119 ","  22,810 ","  47,452 ","  692,539 ","  388,940 ","  303,599 "
33,STATE,TAMIL NADU,Rural,"  4,264 ","  13,812 ","  7,375 ","  6,437 ","  16,366 ","  305,336 ","  178,395 ","  126,941 "
33,STATE,TAMIL NADU,Urban,"  11,035 ","  37,117 ","  20,744 ","  16,373 ","  31,086 ","  387,203 ","  210,545 ","  176,658 "
34,STATE,PUDUCHERRY,Total,  492 ,"  1,590 ",  777 ,  813 ,  393 ,"  5,935 ","  2,514 ","  3,421 "
34,STATE,PUDUCHERRY,Rural,  33 ,  82 ,  47 ,  35 ,  85 ,"  1,377 ",  579 ,  798 
34,STATE,PUDUCHERRY,Urban,  459 ,"  1,508 ",  730 ,  778 ,  308 ,"  4,558 ","  1,935 ","  2,623 "
35,STATE,ANDAMAN & NICOBAR ISLANDS,Total,  63 ,  95 ,  80 ,  15 ,  398 ,"  8,256 ","  6,674 ","  1,582 "
35,STATE,ANDAMAN & NICOBAR ISLANDS,Rural,  21 ,  30 ,  25 ,  5 ,  214 ,"  4,571 ","  3,808 ",  763 

35,STATE,ANDAMAN & NICOBAR ISLANDS,Urban,  42 ,  65 ,  55 ,  10 ,  184 ,"  3,685 ","  2,866 ",  819 

